,osing,indonesia
0,iro wis madhang,kamu sudah makan
1,durung,belum
2,isun pancen arep madhang nang kene,aku memang mau makan di sini
3,riko arep pesen opo,kamu mau pesan apa
4,aku pesen nasi goreng lan teh anget,aku pesan nasi goreng dan teh hangat
5,riko kelendi kabare,bagaimana kabarmu
6,kabarku apik tapi akeh gawean,kabarku baik tapi banyak kerjaan
7,ngelih banget iki,lapar banget nih
8,riko arep nang endi,kamu mau kemana
9,kapan riko arep mrene,kapan kamu mau kesini
10,riko iki seng arep maning tah ambi isun,kamu ini sudah tidak mau ta sama saya
11,riko kelendi kabare,kamu gimana kabarnya
12,awas engko tah temebluk siro iku,awas nanti ta kamu jatuh
13,isun iki wes welas nyang riko,aku ini sudah sayang ke kamu
14,menurut riko isun iki kelendi wonge,menurut kamu aku ini gimana orangnya
15,ojo cilik ati,jangan berkecil hati
16,apuwo riko mbewek byaen,kenapa kamu sedih terus
17,nagud,bermakna jelek
18,omah riko nong endi,rumah kamu dimana
19,isun gedigi anane,aku begini adanya
20,raino bengi anane sun mung ngangen,setiap malam saya hanya bisa berharap
21,gedigi,begini
22,sing nduwe isin,tidak punya malu
23,kelendi,bagaimana
24,apuwo,kenapa
25,ngapuro aku ora kaya ngono. isun iki wes welas nyang riko,maaf aku bukan seperti itu. aku sudah sayang sama kamu
26,menurut riko isun iki kelendi wonge,menurutmu aku ini gimana orangnya
27,riko wong apik ojo cilik ati. isun sayang karo riko,kamu orang baik jangan berkecil hati. aku sayang sama kamu
28,aku arep nang pasar tuku sayur. riko,aku mau ke pasar beli sayur. kamu
29,aku arep neng omah kancaku. awas engko tah temebluk siro iku,aku mau ke rumah temanku. awas nanti kamu jatuh
30,tenang bae aku ati-ati,tenang saja aku hati-hati
31,kapan riko arep mrene? wis suwe aku ngenteni,kapan kamu mau ke sini? aku sudah lama menunggu
32,sabar isun entuk gawean sekedik. mungkin bengi riko bisa ngancani aku,sabar aku ada pekerjaan sedikit. mungkin malam nanti kamu bisa menemani aku
33,oke aku bakal mrene sore iki. raino bengi anane sun mung ngangen riko,oke aku akan ke sana sore ini. setiap malam aku hanya bisa merindukan kamu
34,apuwo riko mbewek byaen? kelihatan sedih banget,kenapa kamu sedih terus? kelihatannya sedih banget
35,aku cilik ati. gara-gara nilai tugasku elek banget,aku merasa kecil hati. nilai tugasku jelek banget
36,ojo cilik ati isun yakin riko bisa ndandani kabeh,jangan berkecil hati aku yakin kamu bisa memperbaikinya
37,matur nuwun riko pancen kancane apik,terima kasih kamu memang teman yang baik
38,isun ngambung kembang hang wangi seru,aku mencium bunga yang sangat harum
39,riko paran maning arep golek ring pasar,kamu apalagi mau cari di pasar
40,bapak nguwel lare iku polae bandel,bapak memarahi anak itu karena bandel
41,ono paran ring jero umah riko,ada apa di dalam rumah kamu
42,myane isun aron isun arep madhang,agar supaya aku sembuh aku mau makan
43,byanyu belabur sakat wingi bengi,air meluap sejak kemarin malam
44,isun arep melayu menyang umah riko,aku akan berlari menuju rumah kamu
45,wawuh karo wong osing iku nggarai seneng,akrab dengan orang osing itu membuat senang
46,odod wit iku gedhig seru,akar pohon itu sangat besar
47,wuruk kang diwenehi guru kudu dielingi,ajaran yang diberikan guru harus diingat
48,ampet dyamar iku myane padang,ambil lampu itu supaya terang
49,gedhoh kopi iku dibuwang wae,ampas kopi itu dibuang saja
50,imuk lare iku polae diunek-unekaken,amuk anak itu karena diejek-ejek
51,jungjung barang iku pelan-pelan,angkat barang itu pelan-pelan
52,teek iku durung ngerti apa-apa,anak yang masih kecil itu belum tahu apa-apa
53,lare thulik iku pinter seru,anak laki-laki itu pintar sekali
54,jebeng iku ayu seru,anak perempuan itu cantik sekali
55,lare buru sore iku durung weruh paran-paran,anak yang belum tahu apa-apa itu belum tahu apa-apa
56,ancas isun marang riko mung siji,ancaman saya kepadamu hanya satu
57,riyukk ati isun krungu omongan riko,hancur hati saya mendengar ucapan kamu
58,ndiko arep menyang endi,anda yang dihormati mau pergi ke mana
59,mungguo riko teko isun seneng seru,andai kamu datang aku senang sekali
60,waled temenan daging wedhus iku,alot sekali daging kambing itu
61,paran hang ndelok riko,apa yang kamu lihat
62,jajang iku gedhig seru,bambu itu sangat besar
63,kepos klambi iku polae udan,basah baju itu karena hujan
64,celeng iku mlayu riyukk,babi hutan itu lari hancur
65,kelumus klambi isun polae ceblok ring kali,basah kuyup baju saya karena jatuh di sungai
66,larad maning pikiran isun,bablas lagi pikiran saya
67,gyalapan jaran iku rame seru,balapan kuda itu ramai sekali
68,opor-oporan ring pinggir pantai asyik seru,bakar-bakaran di pinggir pantai asyik sekali
69,banguryan beli kang anyar ae,bagusan beli yang baru saja
70,kelendhi carane ngerti ati riko,bagaimana caranya tahu hati kamu
71,talar omongan wong tuwek iku,bantah ucapan orang tua itu
72,byapak isun gagah seru,bapak saya gagah sekali
73,merujuk wit iku sakat wingi,baru tumbuh pohon itu sejak kemarin
74,beledhus bau badan riko,bau badanmu tak sedap
75,ngeloyong ring kali iku adem seru,berenang di sungai itu dingin sekali
76,mencorot serngenge isuk iki,bersinar matahari pagi ini
77,melayau-melayau lare cilik iku,berlari-lari anak kecil itu
78,gemprak lare iku polae nakal,bentak anak itu karena nakal
79,merujuk kembang ring plataran umah,bertunas bunga di halaman rumah
80,jak piro larenek riko,berapa orang anaknya kamu
81,wel-welan wong ring pasar,berdesak-desakan orang di pasar
82,junggrang seru wit kelapa iku,besar tinggi sekali pohon kelapa itu
83,myane riko ngerti isun ngomong iki,biar kamu tahu saya bilang ini
84,genengno ae wis takdir,biarkan saja sudah takdir
85,memengan lare iku ring lapangan,bermain anak itu di lapangan
86,lenged seru kipas angin iki,berputar kencang sekali kipas angin ini
87,ngontreng pikiran isun mikir riko,berputar-putar lepas kendali pikiran saya memikirkan kamu
88,kening banyu kali iku,bening air sungai itu
89,bik isun teko sakat wingi,bibi saya datang sejak kemarin
90,beluk ring ngarep iku,belok di depan itu
91,jedhor suwarane bedug magrib,jedhor suaranya bedug magrib
92,gedigi carane nggawe,begini caranya membuat
93,gedigu hang arep diomongaken,begitu yang mau diucapkan
94,angas seru nyali riko,berani sekali nyali kamu
95,mangkat isun saiki,berangkat saya sekarang
96,abot temenan beban iki,berat sekali beban ini
97,mubyar intan iku,berkilauan intan itu
98,ndonono marang wong hang butuh,berikan kepada orang yang butuh
99,wanen seru riko,berani sekali kamu
100,mbelakrak barang-barang ring kamar,berserak barang-barang di kamar
101,gedhig seru umah iku,besar sekali rumah itu
